BookName,ChapterName,CharacterName,Percentile,Sentence,Sentiment,Sentiment Score
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.025157232704402517,"bhadra was alert , guarding the main entrance . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.02830188679245283,"bhadra turned back to find his two back-up soldiers dozing against the fence . ",Neutral
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.03380503144654088,"god bless bhadra ! ",-----
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.09748427672955975,"bhadra and his back-up stood to attention as shiva passed the gate . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.09984276729559749,"shiva frowned and gestured for bhadra to ease up . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.15461215932914046,"` bhadra ! ",-----
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.15880503144654087,"bhadra relayed the orders and the guna soldiers obeyed instantly . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.21200209643605872,"` you are our chief , shiva , ' said bhadra . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.30194726656990806,"meanwhile bhadra , as adept at the art of battle as shiva , was fighting two pakratis simultaneously , with a sword in each hand . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.3069611206403659,"as the soldier fell , bhadra brought his left sword down brutally , ending the suffering quickly for this hapless enemy . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.3191823899371069,"bhadra stood behind the pakrati chief , his sword raised high , ready to strike . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.35062893081761004,"bhadra looked at shiva . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.3611111111111111,"he turned back to bhadra . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.3683737646001797,"a shocked bhadra stared at shiva . ",Neutral
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.5364779874213838,"whispered bhadra 's mother . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.5852004716981132,"grinned shiva at bhadra 's mother , before turning back to chitraangadh with a frown . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.610062893081761,"bhadra giggled softly , while ayurvati stared at shiva with a blank face , clearly not amused at the pun . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.6160714285714286,"ayurvati walked into the guest house , muttering under her breath , ` these uncouth immigrants ... ' shiva raised his eyebrows towards bhadra , grinning impishly . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.6197214734950584,"grimaced bhadra , his face contorted . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.6383647798742138,"bhadra left shiva 's room , laughing loudly . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.7324625060474117,"the darkness veiled his face , but shiva could still recognise bhadra . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.7380952380952381,"shiva instinctively touched bhadra 's forehead . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","bhadra",0.7401729559748427,"` you too have a fever bhadra . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","neelkanth",0.984538784067086,"the neelkanth has come ! ' ",Neutral
"Immortals of Meluha","CHAPTER 1: He has come","neelkanth",0.9869589345172031,"the captain bent low and brought his head down to touch the neelkanth 's feet reverentially . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.0026443682104059464,"1900 bc , mansarovar lake -LRB- at the foot of mount kailash , tibet -RRB- shiva gazed at the orange sky . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.006289308176100629,"shiva had seen a few sunrises in his twenty-one years . ",Neutral
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.011224668064290705,"on any other day , shiva would have taken in the vista -- the sun and the immense lake against the magnificent backdrop of the himalayas stretching as far back as the eye could see . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.01729559748427673,"shiva remembered well his carefree childhood days . ",Positive
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.022303750291171674,"on a normal day , shiva would have smiled at the memory from a cheerful past that had been overwhelmed by the angst of the present . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.026729559748427674,"shiva gestured with his eyes . ",Neutral
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.031446540880503145,"shiva turned back towards the lake . ",Neutral
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.036163522012578615,"shiva brought the chillum made of yak-bone to his hps and took in a deep drag . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.042936623125302366,"with the lake behind them and twenty of shiva 's own soldiers guarding them , it was impossible for them to mount any surprise attack . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.048427672955974846,"the foreigner 's words came flooding back to shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.06761006289308176,"shiva mused that he would certainly not be a chief in this new land . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.07547169811320754,"shiva took another puff from his chillum . ",Neutral
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.08066037735849056,"in fact , shiva wanted to keep him hostage . ",Neutral
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.09433962264150944,"shiva took one last drag from the chillum before banging it on the rock , letting the ash slip out and rose quickly from his perch . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.098451862602806,"bhadra and his back-up stood to attention as shiva passed the gate . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.09905660377358491,"shiva frowned and gestured for bhadra to ease up . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.10566037735849057,"the huts in shiva 's village were luxurious compared to others in their land . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.11477987421383648,"shiva remembered what his uncle , also his guru , used to say . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.12106918238993711,"shiva scratched his shaggy beard as he stared hard at the visitor . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.139937106918239,"shiva continued to stare at the sleeping nandi . ",Neutral
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.14640111809923131,"screamed shiva , as he drew his sword . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.15742924528301885,"shouted shiva as he reached the entrance . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.1720125786163522,"thanks to the foreign presence , shiva had ordered the gunas to remain alert . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.1780922431865828,"bloodied and scarred , shiva surveyed the damage at the end of the battle . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.18890386343216534,"a livid shiva called the entire tribe to the centre of the village . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.20372866127583109,"all of you know the invitation of the foreigners , ' continued shiva , pointing to nandi and the meluhans . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.21147798742138366,"` you are our chief , shiva , ' said bhadra . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.216255442670537,"` not this time , ' said shiva holding out his hand . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.22990915443745633,"but the respect for shiva was not just based on convention , but also on his character . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.23663522012578617,"it had been five days since shiva had uprooted his tribe . ",Neutral
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.2389937106918239,"shiva had organized the camp in three concentric circles . ",Neutral
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.2468553459119497,"shiva was prepared for the worst . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.25323200559049613,"but shiva knew that yakhya , the pakrati chief , would not allow them to leave peacefully . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.2556487304914978,"yakhya would like nothing better than to become a legend by claiming that he had defeated shiva 's gunas and won the land for the pakratis . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.2574328187535735,"it was precisely this weird tribal logic that shiva detested . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.25943396226415094,"shiva relished the call of battle , revelled in its art . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.2688679245283019,"shiva 's thoughts were broken as he saw a shadow move in the distance . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.27358490566037735,"shiva relaxed his stance . ",Positive
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.27882599580712786,"screamed shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.2887840670859539,"a young pakrati , obviously a novice , charged at shiva , swinging wildly . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.2893081761006289,"shiva stepped back , avoiding the strike . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.294811320754717,"that was all shiva needed . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.29874213836477986,"shiva turned around to find a pakrati ready to strike a guna . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.30255200774068697,"meanwhile bhadra , as adept at the art of battle as shiva , was fighting two pakratis simultaneously , with a sword in each hand . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.3208857442348008,"` shiva , quick and easy or slow and painful ? ' ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.324685534591195,"intervened nandi , before shiva could speak . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.32547169811320753,"shiva turned towards the meluhan . ",Neutral
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.33385744234800835,"said shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.34591194968553457,"shiva stood silent . ",Neutral
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.35157232704402513,"bhadra looked at shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.3553459119496855,"shiva turned towards the horizon , seeing the massive mountains . ",Neutral
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.369047619047619,"a shocked bhadra stared at shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.3717430368373764,"nandi gazed at shiva with hope . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.3744758909853249,"` shiva has the heart . ",Positive
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.3805031446540881,"shiva walked back to the young soldier he had stabbed . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.38448637316561846,"for this first time in his life , shiva felt pity for a pakrati . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.389937106918239,"shiva had prepared himself to see some incredible sights , which he could not have imagined in his simple homeland . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4063255926463474,"the melodious singing of the birds calmed the exhausted ears of shiva 's tribe , accustomed only to the rude howling of icy mountain winds . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.40911949685534593,"whispered shiva in awe . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4466981132075472,"nandi led shiva and his tribe to the foreigners ' office , which was placed just outside the camp . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4483551040154814,"nandi requested shiva to wait outside as he went into the office . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4603424178895877,"i believe your leader 's name is shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.46226415094339623,"shiva took a step forward . ",Neutral
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.464622641509434,"` i am shiva . ' ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.472458071278826,"since you are the designated leader , the implementation of all directives within your tribe would be your responsibility ' nandi cut into chitraangadh 's officious speech to tell shiva , ` sir , if you will just excuse me , i will go to the immigrant camp quarters and arrange the temporary living arrangements for your tribe . ' ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.47327044025157233,"shiva noticed that chitraangadh 's ever-beaming face had lost its smile for a fraction of a second as nandi interrupted his flow . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.47641509433962265,"shiva turned and looked at nandi . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4809224318658281,"you do n't need to take my permission , nandi , ' said shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4852201257861635,"` call me shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.48697214734950584,"not sir , ' grinned shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.49312106918238996,"i mean , yes , shiva . ' ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4937106918238994,"shiva turned back to chitraangadh , whose smile for some reason appeared more genuine now . ",Positive
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.49559748427672956,"he said , ` well shiva , if you will follow me to the registration desk , we will complete the formalities quickly . ' ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5026533018867925,"the carefully paved footpaths contrasted sharply with the dirt tracks in shiva 's own land . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5068134171907757,"asked shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5090845562543677,"` they cover the underground drains , shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5117209834190967,"it ensures that the camp remains clean and hygienic ' shiva marvelled at the almost obsessively meticulous planning of the meluhans . ",Positive
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5210298742138365,"feeling the cloth , a bewildered shiva asked , ` what is this material ? ' ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5232990280160091,"chitraangadh replied enthusiastically , ` it 's cotton , shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5406558849955077,"a doctor and her nurses walked out of the house to greet shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5695452346395743,"turning quickly towards shiva , ayurvati continued , ` welcome to meluha . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.574172819250752,"hearing no reaction from shiva , chitraangadh said in his most earnest voice , ` these are just temporary quarters , shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5753349740224228,"hearing no reaction from shiva , chitraangadh said in his most earnest voice , ` these are just temporary quarters , shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.58500393081761,"grinned shiva at bhadra 's mother , before turning back to chitraangadh with a frown . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5897798742138365,"` shiva , the quarantine is just a precaution . ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5974842767295597,"shiva grimaced at nandi and whispered , ` hygiene standards ? ' ",Negative
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6019392033542976,"he mumbled , ` please go along with it , shiva . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6078616352201258,"` i am free right now , ' said shiva with a straight face . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6106618748128182,"bhadra giggled softly , while ayurvati stared at shiva with a blank face , clearly not amused at the pun . ",-----
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6157906558849955,"ayurvati walked into the guest house , muttering under her breath , ` these uncouth immigrants ... ' shiva raised his eyebrows towards bhadra , grinning impishly . ",Negative
